word,definition,pos,freq
predict,说某事将发生/foretell,v,900
beneficial,有益的/producing helpful results,adj,850
accelerate,加速/to move faster,v,820
obvious,明显的/easy to see,adj,790
allocate,分配/distribute for a purpose,v,760
dictionary,词典/collection of words,n,700
contradict,反驳/say the opposite,v,650
transport,运输/carry across,v,640
invisible,看不见的,adj,630
structure,结构,n,620
rebuild,重建,v,610
misspell,拼错,v,600
formation,形成物,n,590
telegraph,电报,n,580
microphone,麦克风,n,570
action,行动,n,560
reaction,反应,n,550
promotion,晋升/促销,n,540
benefit,好处,n,530
creative,有创造力的,adj,520
