word,definition,pos,freq
hej,hej,,常见问候,Hej! Hvordan går det?
far,far,,表示父亲,Min far arbejder i København.
mor,mor,,表示母亲,Min mor laver mad.
barn,barn,,小孩,Der er et barn i haven.
ven,ven,,朋友,Han er min ven.
hus,hus,,房子,Mit hus er stort.
bog,bog,,书,Jeg læser en bog.
bord,bord,,桌子,Bordet er rundt.
stol,stol,,椅子,Jeg sidder på en stol.
mad,mad,,食物,Jeg spiser mad.
vand,vand,,水,Et glas vand, tak.
kaffe,kaffe,,咖啡,Jeg drikker kaffe.
te,te,,茶,Vil du have te?
øl,øl,,啤酒,En kold øl, tak.
vin,vin,,葡萄酒,De drikker vin.
hund,hund,,狗,Min hund er sød.
kat,kat,,猫,Jeg har en kat.
fugl,fugl,,鸟,Fuglen synger.
bil,bil,,汽车,Bilen er ny.
cykel,cykel,,自行车,Jeg cykler til skole.
tog,tog,,火车,Toget er hurtigt.
bus,bus,,公共汽车,Bussen er fuld.
vej,vej,,道路,Vejen er lang.
by,by,,城市,København er en stor by.
land,land,,国家,Danmark er et lille land.
sprog,sprog,,语言,Jeg lærer dansk sprog.
skole,skole,,学校,Skolen er åben.
universitet,universitet,,大学,Han læser på universitet.
arbejde,arbejde,,工作,Jeg har meget arbejde.
penge,penge,,钱,Jeg har ingen penge.
tid,tid,,时间,Jeg har ikke tid.
dag,dag,,天,I dag er mandag.
nat,nat,,夜晚,Natten er mørk.
uge,uge,,周,En uge har syv dage.
måned,måned,,月,En måned har 30 dage.
år,år,,年,Et år har 12 måneder.
mand,mand,,男人,Manden er høj.
kvinde,kvinde,,女人,Kvinden er smuk.
dreng,dreng,,男孩,Drengen leger.
pige,pige,,女孩,Pigen læser.
venner,venner,ven,朋友复数,Vi er gode venner.
arbejder,arbejder,arbejde,工作动词,Han arbejder i banken.
spiser,spiser,spise,吃,Jeg spiser æble.
drikker,drikker,drik,喝,Han drikker vand.
går,går,gå,走,Jeg går i skole.
løber,løber,løb,跑,Hun løber hurtigt.
ser,ser,se,看,Jeg ser en film.
hører,hører,hør,听,Jeg hører musik.
taler,taler,tal,说,Han taler dansk.
skriver,skriver,skriv,写,Jeg skriver et brev.
